\textit{LLMIC},,,,,,
,\bfseries{Reactive-Business/Reactive-School Closures},8.2,6.6,3.0,5.3,14.0
,Elimination,62.9,13.7,56.9,63.3,69.4\phantom{.}
Influenza-1918-X,No Closures,143.8,198.1,44.0,67.8,118.1
,\bfseries{Reactive-Business/Sustained-School Closures},85.8,60.4,56.8,74.3,96.2
,\bfseries{Reactive-Business/Reactive-School Closures}$^*$\textsuperscript\textdagger,68.0,33.5,47.4,66.2,84.0
,Elimination,118.1,53.4,89.9,103.9,125.5\phantom{.}
Covid-Omicron-X,\bfseries{No Closures}$^*$,54.7,48.9,19.4,34.7,75.1
,Reactive-Business/Sustained-School Closures,63.9,41.5,40.8,55.7,79.1
,\bfseries{Reactive-Business/Reactive-School Closures}\textsuperscript\textdagger,46.9,34.3,25.2,36.8,56.9
,Elimination,86.8,26.4,73.2,82.6,95.2\phantom{.}
Covid-Delta-X,No Closures,433.6,307.8,129.3,409.9,681.7
,Reactive-Business/Sustained-School Closures,361.9,275.6,122.9,262.2,574.1
,\bfseries{Reactive-Business/Reactive-School Closures}$^*$,289.7,230.8,112.8,190.3,431.1
,\bfseries{Elimination}\textsuperscript\textdagger,310.9,214.1,137.0,236.9,430.3\phantom{.}
Covid-Wildtype-X,No Closures$^*$,96.7,101.0,27.7,49.1,136.6
,\bfseries{Reactive-Business/Sustained-School Closures},77.9,59.3,46.8,61.7,87.5
,\bfseries{Reactive-Business/Reactive-School Closures}\textsuperscript\textdagger,56.5,34.7,34.8,49.8,70.3
,Elimination,90.0,35.3,71.0,82.8,100.4\phantom{.}\phantom{.}
