\textit{LLMIC},,,,,
Covid-Omicron-X,No Closures,0.1 (0.1; 0.1),1.3 (0.7; 2.3),15.9 (7.7; 43.2),7.8 (3.9; 15.1)
,Reactive-Business/Sustained-School Closures,0.1 (0.1; 0.1),0.9 (0.6; 1.8),11.8 (7.1; 31.3),6.9 (3.6; 13.4)
,Reactive-Business/Reactive-School Closures,0.1 (0.1; 0.1),0.8 (0.6; 1.5),9.9 (6.6; 22.7),6.2 (3.3; 11.9)
,Elimination,0.1 (0.1; 0.1),0.8 (0.5; 1.6),11.1 (6.2; 26.9),6.5 (3.2; 12.7)\phantom{.}
Covid-Delta-X,No Closures,0.1 (0.1; 0.1),2.9 (2.0; 3.5),309.6 (101.1; 493.8),49.2 (26.7; 87.2)
,Reactive-Business/Sustained-School Closures,0.1 (0.1; 0.1),2.2 (1.3; 2.9),221.3 (73.4; 433.3),44.2 (23.0; 80.7)
,Reactive-Business/Reactive-School Closures,0.1 (0.1; 0.1),1.9 (1.1; 2.6),151.1 (56.1; 356.3),39.0 (20.5; 72.9)
,Elimination,0.1 (0.1; 0.1),2.1 (1.4; 2.7),234.0 (106.2; 385.5),43.7 (23.7; 78.0)\phantom{.}
Covid-Wildtype-X,No Closures,0.0 (0.0; 0.0),1.0 (0.5; 1.5),52.3 (19.7; 149.3),13.8 (6.6; 27.1)
,Reactive-Business/Sustained-School Closures,0.0 (0.0; 0.0),0.5 (0.3; 0.9),27.2 (14.1; 70.7),9.9 (5.0; 19.7)
,Reactive-Business/Reactive-School Closures,0.0 (0.0; 0.0),0.4 (0.3; 0.6),19.4 (12.3; 35.9),7.9 (4.2; 14.6)
,Elimination,0.0 (0.0; 0.0),0.6 (0.4; 0.9),37.8 (16.4; 83.1),11.0 (5.3; 21.3)\phantom{.}\phantom{.}
\textit{HIC},,,,,
Influenza-2009-X,No Closures,0.1 (0.0; 0.1),0.2 (0.1; 0.2),0.7 (0.5; 0.9),0.6 (0.3; 1.0)
,Reactive-Business/Sustained-School Closures,0.1 (0.0; 0.1),0.1 (0.1; 0.2),0.7 (0.5; 0.9),0.6 (0.3; 1.0)
,Reactive-Business/Reactive-School Closures,0.1 (0.0; 0.1),0.1 (0.1; 0.2),0.7 (0.5; 0.9),0.6 (0.3; 1.0)
,Elimination,0.1 (0.0; 0.1),0.1 (0.1; 0.1),0.4 (0.3; 0.6),0.4 (0.2; 0.7)\phantom{.}
Influenza-1957-X,No Closures,0.0 (0.0; 0.0),0.2 (0.1; 0.2),1.8 (1.3; 2.5),1.6 (0.8; 2.7)
,Reactive-Business/Sustained-School Closures,0.0 (0.0; 0.0),0.1 (0.1; 0.2),1.6 (1.2; 2.1),1.4 (0.7; 2.2)
,Reactive-Business/Reactive-School Closures,0.0 (0.0; 0.0),0.2 (0.1; 0.2),1.7 (1.2; 2.2),1.4 (0.7; 2.3)
,Elimination,0.0 (0.0; 0.0),0.1 (0.1; 0.1),1.1 (0.7; 1.5),0.9 (0.5; 1.5)\phantom{.}
Influenza-1918-X,No Closures,7.9 (5.7; 12.9),9.6 (5.7; 16.5),41.6 (26.0; 75.7),3.7 (1.6; 7.6)
,Reactive-Business/Sustained-School Closures,7.7 (5.5; 11.0),6.2 (3.9; 9.0),31.0 (20.7; 45.1),2.6 (1.1; 4.5)
,Reactive-Business/Reactive-School Closures,7.0 (5.3; 9.1),7.8 (4.7; 10.3),33.1 (22.5; 44.0),2.8 (1.2; 4.8)
,Elimination,8.1 (5.7; 12.3),4.6 (3.0; 7.1),24.0 (16.4; 36.4),1.9 (0.9; 3.5)\phantom{.}
Covid-Omicron-X,No Closures,0.0 (0.0; 0.1),0.9 (0.4; 1.5),16.3 (8.5; 41.3),12.9 (6.8; 25.3)
,Reactive-Business/Sustained-School Closures,0.0 (0.0; 0.1),0.5 (0.4; 1.0),11.4 (7.7; 26.4),11.2 (6.0; 20.8)
,Reactive-Business/Reactive-School Closures,0.0 (0.0; 0.0),0.5 (0.4; 0.8),9.3 (7.3; 18.0),9.8 (5.4; 17.1)
,Elimination,0.0 (0.0; 0.1),0.4 (0.3; 0.6),7.8 (5.9; 15.3),8.2 (4.3; 14.6)\phantom{.}
Covid-Delta-X,No Closures,0.0 (0.0; 0.0),1.8 (0.9; 2.3),292.7 (73.6; 498.0),69.5 (31.5; 126.7)
,Reactive-Business/Sustained-School Closures,0.0 (0.0; 0.0),1.0 (0.5; 1.6),140.9 (49.4; 392.9),53.4 (26.1; 107.9)
,Reactive-Business/Reactive-School Closures,0.0 (0.0; 0.0),0.8 (0.5; 1.4),85.2 (42.4; 272.4),43.8 (22.2; 88.3)
,Elimination,0.0 (0.0; 0.0),0.8 (0.4; 1.3),106.5 (38.9; 257.0),42.1 (20.3; 82.8)\phantom{.}
Covid-Wildtype-X,No Closures,0.0 (0.0; 0.0),0.4 (0.2; 0.8),28.4 (16.0; 89.4),14.6 (7.1; 31.0)
,Reactive-Business/Sustained-School Closures,0.0 (0.0; 0.0),0.2 (0.1; 0.3),17.8 (12.4; 32.1),10.4 (5.3; 18.9)
,Reactive-Business/Reactive-School Closures,0.0 (0.0; 0.0),0.2 (0.2; 0.3),15.6 (11.6; 21.3),9.2 (4.8; 14.9)
,Elimination,0.0 (0.0; 0.0),0.2 (0.1; 0.3),13.7 (8.8; 25.4),7.8 (3.8; 14.7)\phantom{.}\phantom{.}
